epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0118,3.22055,4.02401,2.83379,1.45011,0.12821,0.46409,0.09516,0.0304,0.11436,0.41374,0.08213,0.02438,nan,nan,nan,nan,0.00032,0.00032,0.00032
2,104.118,2.26381,2.83001,1.13754,1.05924,0.00086,0.00311,0.00043,5e-05,0.00014,0.00052,7e-05,1e-05,nan,nan,nan,nan,0.000656733,0.000656733,0.000656733
3,152.153,2.17805,2.68128,1.10407,1.02951,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0009901,0.0009901,0.0009901
4,201.466,2.1595,2.64953,1.17795,1.0154,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0013201,0.0013201,0.0013201
5,250.16,2.23553,2.64972,1.11144,1.03368,0.00167,0.00035,0.00084,0.0003,0.00083,0.00017,0.00042,4e-05,nan,nan,nan,nan,0.00164674,0.00164674,0.00164674
6,301.081,2.17773,2.64786,1.12385,1.01775,0.02373,0.06593,0.01085,0.00439,0.02071,0.05918,0.00954,0.0036,nan,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,348.616,2.14481,2.54875,1.09853,0.99739,0.00164,0.00536,0.00093,0.00021,0.00132,0.00433,0.00079,0.0002,nan,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,398.047,2.13844,2.58878,1.1094,1.00314,0.16902,0.26354,0.08479,0.02677,0.17663,0.28334,0.09488,0.02996,3.52333,3.51689,inf,1.68693,0.0019307,0.0019307,0.0019307
9,450.616,2.12662,2.55131,1.12702,1.00388,0.26837,0.45233,0.23218,0.08632,0.25467,0.41322,0.2127,0.07182,nan,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,504.08,2.09497,2.52194,1.11364,0.98893,0.31585,0.16785,0.16339,0.05669,0.24934,0.14483,0.12879,0.03799,3.05411,16.68,3.70505,1.32422,0.0019109,0.0019109,0.0019109
11,558.957,2.10379,2.48315,1.07542,0.9858,0.51727,0.57069,0.54365,0.1896,0.39103,0.51112,0.36829,0.10675,2.12752,2.46079,2.11978,1.01526,0.001901,0.001901,0.001901
12,615.681,2.06382,2.47287,1.08719,0.99272,0.72339,0.7991,0.76269,0.27199,0.69901,0.75013,0.72553,0.24188,1.96705,2.08083,1.41974,0.96638,0.0018911,0.0018911,0.0018911
13,670.255,2.02399,2.43242,1.06501,0.9708,0.7536,0.74407,0.7716,0.29615,0.73198,0.71673,0.74043,0.25975,1.98294,2.16533,1.06265,0.98194,0.0018812,0.0018812,0.0018812
14,725.02,2.00944,2.43652,1.04161,0.98068,0.74157,0.71799,0.74889,0.28079,0.70489,0.68126,0.69835,0.23367,1.99772,2.15173,1.10176,0.98002,0.0018713,0.0018713,0.0018713
15,775.351,2.04435,2.43427,1.05743,0.98876,0.71983,0.7375,0.73416,0.26125,0.68366,0.70043,0.68782,0.22408,2.15359,2.24512,1.26134,1.0069,0.0018614,0.0018614,0.0018614
16,826.297,2.02836,2.40226,1.02627,0.98563,0.73445,0.70734,0.741,0.28762,0.69262,0.66863,0.69707,0.24298,1.98251,2.09878,1.0835,0.98359,0.0018515,0.0018515,0.0018515
17,877.332,2.03468,2.42363,1.0238,0.99194,0.80633,0.73456,0.79292,0.30521,0.74678,0.68282,0.71189,0.23219,1.97579,2.28865,1.05402,0.97806,0.0018416,0.0018416,0.0018416
18,927.829,2.03719,2.43232,1.0383,0.96762,0.61393,0.49455,0.55408,0.22413,0.5711,0.46098,0.50584,0.17884,2.10774,2.54807,1.4442,1.02342,0.0018317,0.0018317,0.0018317
19,979.299,1.98158,2.36384,1.01418,0.97536,0.80221,0.81467,0.83532,0.32402,0.74489,0.7439,0.7415,0.22538,1.95822,2.1511,1.11995,0.97133,0.0018218,0.0018218,0.0018218
20,1033.45,1.95429,2.31152,1.0073,0.96759,0.79603,0.76518,0.7801,0.3159,0.76974,0.73992,0.75073,0.26457,1.90568,2.20911,0.99058,0.97282,0.0018119,0.0018119,0.0018119
