epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.582,2.5133,3.19036,1.74382,1.20872,0.29704,0.09219,0.11173,0.04388,0.311,0.09652,0.11744,0.04955,2.2609,3.17314,6.80924,1.24344,0.00032,0.00032,0.00032
2,802.725,2.1355,2.74586,1.09356,1.02867,0.12875,0.05354,0.06864,0.03443,0.11628,0.04765,0.06107,0.02384,2.08587,71.335,80.5645,1.151,0.000656733,0.000656733,0.000656733
3,1410.95,2.12573,2.75748,1.09302,1.04066,0.09366,0.01525,0.02273,0.01242,0.08399,0.01317,0.01921,0.00777,2.32206,213.189,13495.3,1.51382,0.0009901,0.0009901,0.0009901
4,2128.93,2.1229,2.85046,1.10855,1.04743,0,0,0,0,0,0,0,0,3.84445,746.62,9.68133,2.43199,0.0013201,0.0013201,0.0013201
5,2795.83,2.1469,2.78125,1.12913,1.04657,0.16205,0.02305,0.05606,0.01752,0.11941,0.02772,0.06651,0.02508,2.91467,4.78717,1.91504,1.37815,0.00164674,0.00164674,0.00164674
6,3599.43,2.16999,2.68278,1.14612,1.05501,0.01747,0.0026,0.00856,0.00192,0.00353,0.00052,0.00168,0.00045,3.88862,132.468,221.863,10.2436,0.0019505,0.0019505,0.0019505
7,4447.04,2.04325,2.66905,1.06131,1.02757,0.25355,0.02322,0.09105,0.04022,0.16556,0.02582,0.09931,0.04228,2.32879,4.68148,1.33037,1.19936,0.0019406,0.0019406,0.0019406
8,5316.08,1.99542,2.62357,1.02906,1.00722,0.16949,0.02409,0.08345,0.03469,0.14025,0.02079,0.07169,0.02556,2.86131,3.44843,1.91234,1.28406,0.0019307,0.0019307,0.0019307
9,6060.35,2.12565,2.71642,1.07362,1.03658,0.02222,0.00347,0.01198,0.00324,0.03333,0.0052,0.01799,0.00486,3.8006,3.03777,2.54948,1.67095,0.0019208,0.0019208,0.0019208
10,6811.34,2.04782,2.60169,1.04928,1.00823,0.10444,0.01629,0.05943,0.0192,0.11,0.01715,0.06205,0.02061,3.35139,3.09453,1.8285,1.50537,0.0019109,0.0019109,0.0019109
11,7511.3,2.06113,2.62904,1.02564,1.018,0.22959,0.02097,0.0816,0.02703,0.18215,0.01941,0.0747,0.02496,2.95288,2.95858,1.8435,1.31866,0.001901,0.001901,0.001901
12,8259.85,2.05624,2.64064,1.03675,1.0083,0.31171,0.02894,0.11378,0.0499,0.30653,0.02928,0.11506,0.04936,2.13286,2.57117,1.4251,1.04782,0.0018911,0.0018911,0.0018911
13,8922.47,2.01548,2.57096,0.99292,1.00535,0.16222,0.0253,0.09468,0.04352,0.16222,0.0253,0.09333,0.03964,1.93638,2.44892,1.13552,0.99776,0.0018812,0.0018812,0.0018812
14,9649.82,1.98832,2.52615,0.9866,1,0.28579,0.0272,0.10844,0.05668,0.22257,0.02599,0.10193,0.04386,2.1224,2.48175,1.18328,1.04545,0.0018713,0.0018713,0.0018713
15,10337.8,1.95317,2.4875,1.0005,0.99511,0.2556,0.02513,0.09876,0.04154,0.2347,0.02391,0.09315,0.04055,2.13089,2.45426,1.22857,1.01503,0.0018614,0.0018614,0.0018614
16,11048.2,1.93939,2.47163,0.96066,0.98189,0.26836,0.02859,0.10985,0.04706,0.268,0.02842,0.10939,0.05519,2.12429,2.55302,1.29945,1.02389,0.0018515,0.0018515,0.0018515
17,11713.4,1.97786,2.51256,0.97728,1.0029,0.49761,0.02963,0.11957,0.06371,0.41157,0.02928,0.11891,0.06189,1.84446,2.14387,1.1132,0.97697,0.0018416,0.0018416,0.0018416
18,12448.1,1.90521,2.42386,0.96823,0.98687,0.18852,0.02443,0.09243,0.0264,0.10333,0.01612,0.05885,0.01401,2.78387,2.7571,2.37966,1.15956,0.0018317,0.0018317,0.0018317
19,13132.6,1.92761,2.41325,0.94911,0.99879,0.16444,0.02565,0.09922,0.05178,0.16556,0.02582,0.09957,0.05305,1.88842,2.46701,1.15598,1.00437,0.0018218,0.0018218,0.0018218
20,13867.4,1.92866,2.43276,0.9613,0.98918,0.34172,0.02946,0.11791,0.06006,0.37784,0.02894,0.11572,0.06315,1.79648,2.06312,0.9859,0.95933,0.0018119,0.0018119,0.0018119
21,14557.5,1.94165,2.42579,0.95918,0.99056,0.26068,0.02928,0.11626,0.06193,0.19,0.02963,0.11485,0.05565,1.87912,2.18163,1.06149,0.97328,0.001802,0.001802,0.001802
22,15532.7,1.9435,2.4274,0.97874,0.99649,0.57252,0.02928,0.11923,0.06609,0.49799,0.02859,0.1164,0.05499,2.04291,2.53468,1.04978,1.01087,0.0017921,0.0017921,0.0017921
23,16350.2,1.87304,2.38215,0.94552,0.9862,0.46701,0.03708,0.11969,0.0646,0.47574,0.03778,0.12356,0.06261,1.7904,2.05463,0.94002,0.96534,0.0017822,0.0017822,0.0017822
24,17235.4,1.88372,2.37696,0.93567,0.98105,0.35796,0.02946,0.11534,0.06145,0.52991,0.02807,0.11508,0.06117,1.79272,2.04387,0.93202,0.96244,0.0017723,0.0017723,0.0017723
25,18086.2,1.88026,2.41305,0.92988,0.97648,0.19556,0.0305,0.1188,0.06599,0.19222,0.02998,0.11536,0.05973,1.80088,2.06647,0.96763,0.96209,0.0017624,0.0017624,0.0017624
26,18971.1,1.89378,2.38589,0.93988,0.99494,0.15667,0.02443,0.09384,0.05032,0.15556,0.02426,0.0916,0.04466,1.85267,2.19864,1.17028,0.97778,0.0017525,0.0017525,0.0017525
27,19868.2,1.85034,2.34948,0.92108,0.98881,0.48262,0.02807,0.12021,0.06257,0.2301,0.03102,0.12152,0.06518,1.7189,1.97853,0.91762,0.94705,0.0017426,0.0017426,0.0017426
28,20809.7,1.89501,2.35744,0.95585,0.98861,0.18778,0.02928,0.11208,0.0559,0.18111,0.02824,0.10655,0.04355,2.03665,2.26708,1.22146,0.99447,0.0017327,0.0017327,0.0017327
29,21638.4,1.90308,2.40951,0.97059,0.98706,0.32273,0.03067,0.11974,0.06834,0.27109,0.02946,0.11328,0.05781,1.87162,2.16841,1.05507,0.96933,0.0017228,0.0017228,0.0017228
30,22439.3,1.826,2.31724,0.90961,0.98113,0.34945,0.02807,0.11113,0.05866,0.21421,0.02651,0.10235,0.04359,2.26352,2.41793,1.15008,1.03491,0.0017129,0.0017129,0.0017129
31,23187.9,1.81873,2.32488,0.90725,0.96703,0.54185,0.02998,0.12297,0.06708,0.54185,0.02998,0.1207,0.06565,1.70693,2.01004,0.95095,0.94439,0.001703,0.001703,0.001703
32,23988.6,1.84775,2.3285,0.90167,0.9768,0.50625,0.0298,0.12017,0.07163,0.5249,0.02894,0.11927,0.05972,1.76746,2.0701,0.92049,0.94854,0.0016931,0.0016931,0.0016931
33,24826.8,1.89393,2.41804,0.93587,0.97702,0.50592,0.02876,0.11442,0.06655,0.50155,0.02703,0.10939,0.05139,1.86614,2.13656,1.00331,0.96798,0.0016832,0.0016832,0.0016832
34,25609.2,1.83601,2.3366,0.90196,0.97021,0.34806,0.02755,0.10837,0.05922,0.17414,0.02617,0.10032,0.04099,2.02486,2.22454,1.04393,0.99298,0.0016733,0.0016733,0.0016733
35,26355.9,1.82037,2.33925,0.88343,0.97283,0.33508,0.03188,0.12424,0.06769,0.25675,0.03067,0.11885,0.05934,1.75863,2.1117,0.89336,0.95134,0.0016634,0.0016634,0.0016634
36,27214.1,1.8078,2.31549,0.88701,0.97212,0.45,0.02998,0.1218,0.06743,0.39679,0.02859,0.11713,0.06448,1.70336,2.01987,0.87434,0.93887,0.0016535,0.0016535,0.0016535
37,28055.9,1.85235,2.34336,0.88545,0.96634,0.37334,0.02894,0.12027,0.06614,0.35098,0.0272,0.11273,0.05099,1.90168,2.0638,0.93438,0.96692,0.0016436,0.0016436,0.0016436
