epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9188,3.11364,4.11037,2.76781,1.46647,0.73347,0.30973,0.45127,0.1501,0.6277,0.26506,0.31904,0.07242,2.58344,3.49167,inf,1.29511,0.00032,0.00032,0.00032
2,121.053,2.13721,2.92544,1.09162,1.05814,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000656733,0.000656733,0.000656733
3,175.939,2.04513,2.71659,1.03792,1.0235,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0009901,0.0009901,0.0009901
4,232.95,2.07912,2.75046,1.07608,1.03722,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0013201,0.0013201,0.0013201
5,287.057,2.04205,2.76965,1.0325,1.01772,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00164674,0.00164674,0.00164674
6,344.118,2.04393,2.75531,1.00821,1.0232,0.14133,0.2057,0.06791,0.0224,0.15749,0.09403,0.05109,0.01612,nan,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,399.718,2.02406,2.68998,1.0112,1.00308,0.09563,0.06435,0.01843,0.00533,0.07706,0.05143,0.01364,0.00374,5.08648,6.61305,12.6445,2.44251,0.0019406,0.0019406,0.0019406
8,454.442,2.0131,2.71173,0.98323,1.00143,0.38091,0.33177,0.26883,0.08696,0.40517,0.32765,0.28615,0.1003,2.41755,3.02198,2.26573,1.1278,0.0019307,0.0019307,0.0019307
9,510.876,2.02922,2.68966,1.01943,1.01399,0.58759,0.61563,0.55333,0.23696,0.57687,0.59506,0.52004,0.20019,2.16837,2.6052,3.89717,1.06883,0.0019208,0.0019208,0.0019208
10,572.756,1.96469,2.60588,0.98634,0.9879,0.51558,0.19689,0.20507,0.06155,0.55308,0.22568,0.24923,0.08712,3.03707,3.48805,1.92734,1.45235,0.0019109,0.0019109,0.0019109
