epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8614,3.12399,4.16316,2.79348,1.46683,0.00043,0.00156,0.00022,7e-05,0.00024,0.00087,0.00013,4e-05,nan,nan,nan,nan,0.00032,0.00032,0.00032
2,102.463,2.18496,2.9727,1.13246,1.06715,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000657386,0.000657386,0.000657386
3,152.745,2.06029,2.78003,1.07637,1.03201,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00099208,0.00099208,0.00099208
4,202.579,2.13747,2.8913,1.12395,1.04573,0.00111,0.00104,0.00057,0.00014,0.00037,0.00035,0.00019,2e-05,nan,nan,nan,nan,0.00132408,0.00132408,0.00132408
5,258.388,2.14209,2.87356,1.11548,1.03841,0.01411,0.00606,0.00739,0.00281,0.01532,0.00658,0.00796,0.00252,nan,nan,nan,nan,0.00165339,0.00165339,0.00165339
6,308.47,2.09962,2.81927,1.08679,1.02295,0.01202,0.0052,0.00605,0.00195,0.00962,0.00416,0.00484,0.00178,nan,nan,nan,nan,0.0019604,0.0019604,0.0019604
7,359.53,2.04,2.72658,1.05419,1.00589,0.074,0.18333,0.04379,0.0205,0.07162,0.17744,0.04217,0.01952,nan,nan,nan,nan,0.00195248,0.00195248,0.00195248
8,415.52,2.07959,2.77612,1.04476,1.01727,0.5867,0.3825,0.40846,0.17225,0.57163,0.36354,0.38276,0.14294,2.32799,8.88456,1.94299,1.14697,0.00194456,0.00194456,0.00194456
9,470.685,2.05505,2.72979,1.05375,1.01223,0.08094,0.14382,0.04167,0.00962,0.03138,0.11419,0.01749,0.00526,4.01066,4.51137,4.71781,1.98004,0.00193664,0.00193664,0.00193664
10,521.12,2.03552,2.69205,1.05375,1.00227,0.46084,0.41483,0.41501,0.16744,0.4583,0.40929,0.40366,0.14097,2.40723,2.73623,1.73671,1.13602,0.00192872,0.00192872,0.00192872
11,571.214,2.01853,2.6577,1.03028,1.00205,0.39984,0.38434,0.3267,0.11516,0.35582,0.33616,0.27032,0.07711,2.72547,2.87855,2.51457,1.18047,0.0019208,0.0019208,0.0019208
12,620.273,1.98991,2.61415,1.01278,1.00329,0.09621,0.09912,0.04441,0.0104,0.08691,0.08352,0.0366,0.00817,4.52458,4.27421,2.646,1.74849,0.00191288,0.00191288,0.00191288
13,672.571,1.97981,2.59129,1.00573,0.99429,0.76605,0.68597,0.72982,0.30085,0.74767,0.66951,0.70614,0.25883,1.94229,2.31388,1.2526,0.99833,0.00190496,0.00190496,0.00190496
14,723.086,1.9741,2.55918,1.00548,0.99687,0.02671,0.01144,0.0152,0.00279,0.03764,0.01612,0.01951,0.00386,4.89583,3.92776,5.04733,1.82937,0.00189704,0.00189704,0.00189704
15,774.989,1.95468,2.53905,0.97447,0.99459,0.72073,0.68394,0.7097,0.29038,0.66555,0.62173,0.61773,0.20403,1.9544,2.34564,1.09834,0.98302,0.00188912,0.00188912,0.00188912
