epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0214,3.22135,4.02602,2.83374,1.45053,0.24761,0.8325,0.33302,0.09349,0.21735,0.73075,0.26288,0.06861,2.43096,4.27758,inf,1.17901,0.00032,0.00032,0.00032
2,94.3895,2.26456,2.8344,1.16578,1.05717,0.00295,0.01073,0.0015,0.00037,0.0009,0.00329,0.00047,7e-05,nan,nan,nan,nan,0.000653466,0.000653466,0.000653466
3,138.705,2.18091,2.7053,1.10585,1.02968,0.01629,0.02457,0.00835,0.00234,0.01147,0.0173,0.00583,0.00195,nan,nan,nan,nan,0.0009802,0.0009802,0.0009802
4,181.213,2.15393,2.6595,1.16936,1.01369,0.00083,0.00277,0.00041,8e-05,0,0,0,0,nan,nan,nan,nan,0.0013002,0.0013002,0.0013002
5,222.47,2.208,2.66289,1.12782,1.02569,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00161347,0.00161347,0.00161347
6,265.09,2.1763,2.59291,1.10499,1.01895,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.001901,0.001901,0.001901
7,307.209,2.1652,2.54206,1.13177,1.00146,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,350.328,2.17398,2.62575,1.10327,1.00948,0.00108,0.00242,0.00055,0.00019,0.00142,0.00017,0.00012,5e-05,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,393.063,2.14355,2.53566,1.08506,1.00474,0.32272,0.22928,0.18729,0.05608,0.29954,0.21111,0.16706,0.04661,3.18714,5.09532,2.2482,1.39881,0.0018416,0.0018416,0.0018416
10,435.015,2.14586,2.54151,1.08775,0.99714,0.00121,0.00121,0.00279,0.00054,0.00701,0.01713,0.00553,0.00154,nan,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,478.944,2.08347,2.44223,1.07496,0.98388,0.58446,0.47517,0.48792,0.17392,0.48229,0.39211,0.37297,0.10781,2.36351,2.93314,2.38749,1.11132,0.001802,0.001802,0.001802
12,523.134,2.06476,2.46713,1.07317,0.98897,0.69946,0.74459,0.73145,0.23687,0.61791,0.66742,0.60095,0.17819,2.12433,2.19898,1.74108,1.0074,0.0017822,0.0017822,0.0017822
13,565.826,2.03186,2.42866,1.05711,0.97409,0.71945,0.65686,0.68115,0.22882,0.71081,0.66564,0.68512,0.21944,2.30655,2.28385,1.25468,1.0832,0.0017624,0.0017624,0.0017624
14,609.656,2.00082,2.41155,1.04748,0.97482,0.62516,0.58418,0.58599,0.20527,0.55152,0.5039,0.47946,0.14096,2.22408,2.30849,1.28156,1.02419,0.0017426,0.0017426,0.0017426
