epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7668,3.12399,4.16316,2.79348,1.46683,0.00043,0.00156,0.00022,7e-05,0.00024,0.00087,0.00013,4e-05,nan,nan,nan,nan,0.00032,0.00032,0.00032
2,104.415,2.18513,2.97423,1.1349,1.06702,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000653466,0.000653466,0.000653466
3,157.777,2.0632,2.7914,1.06999,1.03256,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0009802,0.0009802,0.0009802
4,210.526,2.08127,2.80469,1.07576,1.03424,0.00762,0.01663,0.00429,0.00113,0.00373,0.00814,0.00191,0.00055,nan,nan,nan,nan,0.0013002,0.0013002,0.0013002
5,267.532,2.10869,2.81197,1.08097,1.03362,0.07789,0.01178,0.04169,0.01847,0.06987,0.01057,0.03675,0.01367,nan,nan,nan,nan,0.00161347,0.00161347,0.00161347
6,321.334,2.11065,2.75471,1.07739,1.02404,0.05971,0.01508,0.03693,0.01284,0.07893,0.01993,0.04711,0.01685,nan,nan,nan,nan,0.001901,0.001901,0.001901
7,372.075,2.06532,2.70158,1.04851,1.01075,0.01839,0.01715,0.01032,0.00255,0.00669,0.00624,0.00405,0.00159,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,423.79,2.03126,2.69975,1.04153,1.00479,0.09199,0.2367,0.05097,0.02187,0.08863,0.22249,0.04798,0.01939,3.27121,15.3004,inf,2.3354,0.0018614,0.0018614,0.0018614
9,479.445,2.0222,2.64596,1.0345,1.00646,0.73298,0.60405,0.63525,0.26921,0.73457,0.60007,0.63137,0.24677,1.97162,2.48469,1.17044,1.02012,0.0018416,0.0018416,0.0018416
10,533.679,1.99753,2.59819,1.02744,0.99301,0.57359,0.64148,0.55495,0.21429,0.56294,0.61341,0.53412,0.18149,2.20081,2.53274,2.27796,1.0452,0.0018218,0.0018218,0.0018218
11,583.894,1.97902,2.60448,1.01351,0.99889,0.72445,0.72161,0.70907,0.30807,0.6813,0.67579,0.6418,0.21623,2.07969,2.45548,1.30809,1.02151,0.001802,0.001802,0.001802
12,639.221,1.951,2.53942,0.97923,0.99291,0.48556,0.36839,0.35129,0.11238,0.43793,0.32837,0.29482,0.08352,2.78439,3.57899,1.6721,1.19171,0.0017822,0.0017822,0.0017822
13,692.168,2.03886,2.68134,1.03034,1.00925,0.67084,0.68151,0.6511,0.27703,0.61849,0.61792,0.56052,0.17681,2.03309,2.53341,1.30342,1.01656,0.0017624,0.0017624,0.0017624
