epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.096,3.11364,4.11037,2.76781,1.46647,0.73347,0.30973,0.45127,0.1501,0.6277,0.26506,0.31904,0.07242,2.58344,3.49167,inf,1.29511,0.00032,0.00032,0.00032
2,113.876,2.13467,2.9241,1.08977,1.05693,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000653466,0.000653466,0.000653466
3,171.792,2.04483,2.71646,1.02415,1.02362,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0009802,0.0009802,0.0009802
4,227.733,2.09174,2.77532,1.07136,1.03781,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0013002,0.0013002,0.0013002
5,284.581,2.04342,2.75061,1.05402,1.01945,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00161347,0.00161347,0.00161347
6,343.717,2.0416,2.6837,1.01211,1.02041,0.22009,0.22686,0.13539,0.04978,0.18861,0.19042,0.10081,0.03135,3.09203,5.68385,2.79158,1.42861,0.001901,0.001901,0.001901
7,402.483,2.03216,2.62507,1.00014,1.00277,0.07807,0.0429,0.0472,0.02215,0.09251,0.05084,0.05478,0.02521,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,461.083,2.0071,2.65269,0.99974,1.00048,0.47622,0.26717,0.22745,0.07845,0.4853,0.26242,0.2391,0.08641,2.33214,4.54278,1.45936,1.16402,0.0018614,0.0018614,0.0018614
9,515.332,2.02219,2.67505,1.00702,1.01057,0.33003,0.28945,0.23701,0.08261,0.33728,0.29701,0.25115,0.09704,3.36335,3.39697,2.81223,1.47614,0.0018416,0.0018416,0.0018416
10,573.559,1.98979,2.6074,0.99305,0.99637,0.13228,0.0429,0.02722,0.00876,0.12104,0.03791,0.02009,0.00565,3.84631,7.01114,4.28067,1.70438,0.0018218,0.0018218,0.0018218
11,633.091,1.9826,2.61757,0.98732,0.99918,0.40818,0.49985,0.34945,0.12999,0.38128,0.45636,0.3013,0.09669,2.4129,2.84968,1.99672,1.10879,0.001802,0.001802,0.001802
12,689.909,1.93849,2.52296,0.95677,0.98884,0.58942,0.4452,0.43763,0.13231,0.52065,0.38819,0.3563,0.09242,2.6221,2.92721,2.32724,1.16729,0.0017822,0.0017822,0.0017822
13,748.432,1.95183,2.5439,0.94184,0.98612,0.58686,0.58566,0.53857,0.20883,0.55557,0.54364,0.4833,0.15139,2.28487,2.63331,2.44104,1.08198,0.0017624,0.0017624,0.0017624
14,808.257,1.9651,2.58,0.97139,1.00281,0.64945,0.56009,0.56031,0.22272,0.62172,0.53541,0.51955,0.17965,2.21293,2.58471,1.36366,1.06538,0.0017426,0.0017426,0.0017426
15,870.43,1.89365,2.47259,0.93874,0.98288,0.59716,0.42995,0.43476,0.14223,0.537,0.38173,0.35977,0.10021,2.49829,2.87843,2.66513,1.14608,0.0017228,0.0017228,0.0017228
16,927.862,1.90181,2.45164,0.92995,0.98439,0.54864,0.33059,0.3228,0.08289,0.43755,0.27329,0.23731,0.05302,2.90399,3.0682,1.80939,1.27325,0.001703,0.001703,0.001703
17,979.649,1.86988,2.40358,0.94151,0.97923,0.65424,0.13547,0.21359,0.07001,0.48367,0.13547,0.18048,0.05052,nan,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,1039.38,1.90567,2.48033,0.93049,0.97448,0.55495,0.46195,0.4168,0.15962,0.51193,0.43814,0.36986,0.12482,2.19294,2.58805,1.70611,1.11149,0.0016634,0.0016634,0.0016634
19,1093.26,1.84831,2.42961,0.9204,0.98262,0.63337,0.54658,0.54118,0.19592,0.53881,0.464,0.42574,0.11288,nan,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,1152.74,1.84266,2.41524,0.89188,0.97833,0.70038,0.52571,0.56735,0.26127,0.67924,0.50984,0.53821,0.21643,2.01663,2.38773,1.3792,1.02956,0.0016238,0.0016238,0.0016238
21,1212.79,1.88546,2.47402,0.91523,0.9837,0.68136,0.45871,0.4962,0.22674,0.66666,0.44637,0.47365,0.19118,2.01494,2.51681,1.53846,1.04337,0.001604,0.001604,0.001604
22,1270.31,1.86551,2.41803,0.9227,0.96943,0.44016,0.59888,0.38975,0.16723,0.415,0.56305,0.35375,0.12259,2.27542,2.58805,1.81078,1.06864,0.0015842,0.0015842,0.0015842
23,1325.28,1.83235,2.3772,0.89777,0.98043,0.67824,0.66912,0.67012,0.31299,0.65718,0.63885,0.62272,0.23479,2.02157,2.32702,1.54846,1.01897,0.0015644,0.0015644,0.0015644
24,1388.77,1.8546,2.41947,0.89923,0.98007,0.61137,0.66661,0.59162,0.26624,0.59088,0.63415,0.55259,0.19991,2.03192,2.35493,1.35655,1.02481,0.0015446,0.0015446,0.0015446
25,1442.99,1.8207,2.36108,0.88766,0.96655,0.42907,0.35498,0.27681,0.07507,0.31923,0.26242,0.16789,0.0367,3.00297,3.05408,2.40408,1.24053,0.0015248,0.0015248,0.0015248
26,1498.61,1.8649,2.39568,0.885,0.96742,0.64693,0.66353,0.62769,0.27971,0.62358,0.64179,0.59088,0.22598,1.97402,2.24917,1.54714,1.00288,0.001505,0.001505,0.001505
27,1555.81,1.81228,2.3258,0.87416,0.97092,0.58475,0.5883,0.54596,0.21168,0.57506,0.57703,0.5306,0.20917,2.09228,2.37574,3.14443,1.04622,0.0014852,0.0014852,0.0014852
28,1611.04,1.80267,2.34583,0.87311,0.97053,0.74564,0.56215,0.60693,0.26601,0.72292,0.54775,0.57965,0.22105,1.99819,2.33714,1.37568,1.02225,0.0014654,0.0014654,0.0014654
29,1668.18,1.77119,2.3039,0.84927,0.96115,0.64507,0.65148,0.61559,0.29625,0.62252,0.62757,0.58294,0.23135,1.91104,2.2546,1.24316,0.98693,0.0014456,0.0014456,0.0014456
30,1722.16,1.7854,2.30602,0.86012,0.96402,0.72991,0.67501,0.68581,0.3167,0.71965,0.65942,0.66582,0.27598,1.9535,2.22245,1.11375,1.00561,0.0014258,0.0014258,0.0014258
31,1786.97,1.79432,2.37491,0.87686,0.96678,0.49923,0.55774,0.43118,0.19447,0.46996,0.50926,0.38391,0.12805,2.3008,2.49762,1.81485,1.07303,0.001406,0.001406,0.001406
32,1843.17,1.77214,2.29915,0.84165,0.95923,0.49422,0.50279,0.39832,0.1677,0.45658,0.45636,0.34609,0.10856,2.44408,2.92779,1.49664,1.10184,0.0013862,0.0013862,0.0013862
33,1900.55,1.75736,2.29489,0.84824,0.96033,0.6505,0.54694,0.56479,0.27678,0.64499,0.531,0.54439,0.22991,1.86492,2.28942,1.22935,0.99276,0.0013664,0.0013664,0.0013664
34,1954.1,1.77694,2.30119,0.84163,0.95454,0.58909,0.49339,0.48129,0.21841,0.56915,0.46224,0.44985,0.16292,2.24972,2.66531,1.36975,1.07255,0.0013466,0.0013466,0.0013466
